Time,Throughput
1,183
2,357
3,251
4,552
5,778
6,712
7,1846
8,1439
9,1296
10,1383
11,1635
12,2319
13,3305
14,4402
15,3972
16,2806
17,1685
18,1756
19,2409
20,3073
21,1518
22,1027
23,3812
24,3432
25,2509
26,1836
27,2184
28,4122
29,2353
30,954
31,3865
32,4643
33,2986
34,1660
35,3587
36,2579
37,2273
38,4256
39,3825
40,4645
41,4519
42,4548
43,2029
44,2467
45,2991
46,4114
47,4017
48,3716
49,3083
50,3614
51,3607
52,2622
53,3667
54,2662
55,2743
56,3320
57,1205
58,3239
59,3693
60,1867
61,3531
62,3967
63,1676
64,3888
65,3188
66,2313
67,2800
68,3548
69,3663
70,2552
71,3737
72,2115
73,2031
74,1552
75,700
76,568
77,194
78,29
